,name,github_id,category,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition,license
0,core frontend,home-assistant/frontend,core,Frontend for Home Assistant.,https://github.com/home-assistant/frontend,https://github.com/home-assistant/frontend,2015-07-12 23:58:06,2023-04-19 09:09:28,2023-04-19 06:58:18,10744,615.0,1967,125,8813.0,484.0,5539,3012,2023-04-13 09:03:27,20230411.1,1351.0,103.0,100.0,535.0,535.0,479.0,31,True,1,True,
1,operating-system,home-assistant/operating-system,core,Home Assistant Operating System.,https://github.com/home-assistant/operating-system,https://github.com/home-assistant/operating-system,2018-01-02 08:20:18,2023-04-18 12:45:25,2023-04-18 12:45:25,1861,90.0,751,124,1200.0,76.0,1100,3192,2023-04-17 08:43:44,10.0,9414240.0,177627.0,100.0,,,106.0,29,True,2,True,Apache-2.0
2,core android,home-assistant/android,core,Home Assistant Companion for Android.,https://github.com/home-assistant/android,https://github.com/home-assistant/android,2019-04-02 05:52:50,2023-04-17 16:01:41,2023-04-15 00:36:11,1590,116.0,430,69,1747.0,118.0,1598,1601,2023-03-24 00:01:49,2023.3.0,6079.0,2026.0,100.0,,,106.0,28,True,2,True,Apache-2.0
3,home-assistant.io,home-assistant/home-assistant.io,information,Home Assistant User documentation.,https://github.com/home-assistant/home-assistant.io,https://github.com/home-assistant/home-assistant.io,2014-12-21 20:59:21,2023-04-19 08:38:40,2023-04-19 08:38:39,27877,615.0,6341,155,22096.0,181.0,4688,3587,,,,,,,,4763.0,26,True,1,True,
4,Gladys,GladysAssistant/Gladys,community-addons,"A privacy-first, open-source home assistant.",https://github.com/GladysAssistant/Gladys,https://github.com/GladysAssistant/Gladys,2015-06-05 11:10:33,2023-04-17 19:48:50,2023-04-17 04:19:15,2255,60.0,256,79,939.0,12.0,791,2282,2023-04-17 05:19:42,4.21.0,26295.0,292.0,99.0,2.0,2.0,50.0,26,True,1,True,Apache-2.0
5,button-card,custom-cards/button-card,custom-cards,Lovelace button-card for home assistant.,https://github.com/custom-cards/button-card,https://github.com/custom-cards/button-card,2018-08-26 15:50:44,2023-04-02 16:02:11,2023-04-02 15:02:33,267,10.0,174,43,145.0,177.0,364,1374,2023-04-02 15:02:42,3.5.0,366789.0,6668.0,66.0,,,27.0,25,True,1,True,MIT
6,core supervisor,home-assistant/supervisor,core,Home Assistant Supervisor.,https://github.com/home-assistant/supervisor,https://github.com/home-assistant/supervisor,2017-03-14 08:54:15,2023-04-19 00:01:20,2023-04-17 11:40:19,3823,86.0,450,79,2764.0,27.0,1337,1367,2023-04-03 18:47:00,2023.04.0,,,100.0,,,66.0,24,True,3,True,Apache-2.0
7,core addons,home-assistant/addons,core,Docker add-ons for Home Assistant.,https://github.com/home-assistant/addons,https://github.com/home-assistant/addons,2017-03-18 22:23:14,2023-04-19 03:44:19,2023-04-18 09:47:21,1397,54.0,1190,67,1431.0,36.0,1456,1180,,,,,,,,208.0,24,True,3,True,Apache-2.0
8,iOS,home-assistant/iOS,core,Home Assistant for Apple platforms.,https://github.com/home-assistant/iOS,https://github.com/home-assistant/iOS,2016-04-03 08:28:34,2023-04-17 11:17:28,2023-04-02 23:29:49,2614,25.0,219,83,928.0,207.0,1035,1162,2023-04-05 03:09:59,release/2023.4/2023.460,48463.0,1514.0,100.0,,,36.0,23,True,3,True,
9,ShellyForHASS,StyraHem/ShellyForHASS,community-addons,Shelly smart home platform for Home Assistant.,https://github.com/StyraHem/ShellyForHASS,https://github.com/StyraHem/ShellyForHASS,2019-03-27 11:14:33,2023-04-19 08:52:02,2023-04-19 08:49:06,631,15.0,108,47,109.0,166.0,476,581,2022-09-12 17:29:53,1.0.2,138795.0,2953.0,60.0,,,27.0,22,True,2,True,MIT
